"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d0","Sub3","MSPrebio","B",0.59903287259571,0,0.00466182594707738,0.000988019519963005,0.00132385166178784,0.00138973790874602,0.000171462538151395,0,0.00201310812464974,0.00479050510122668,0,0.00061717709556848,0,0.0314132356792597
"d0","Sub3","MSPrebio","C",0.611265793610295,0,0.00367619733118046,0.000679870909348155,0.0012571912842114,0.00115403588177779,0.000162116966350943,0,0.00165387633467852,0.00390137157714865,0,0.000593017828622135,0,0.0259951252854776
"d1","Sub3","MSPrebio","A",0.0062817566382758,0,0.000952300950228465,9.7342664303173e-07,0,0.000478160566122623,4.05347563910453e-05,0,7.34719135596415e-05,0,0,4.7706577020802e-05,0,0.00346923583347933
"d1","Sub3","MSPrebio","B",0.0088995558767735,0,0.00108179813577487,0,0,0.000436528267674449,4.91664677098879e-05,0,8.3265964793539e-05,0,0,5.74743700967305e-05,0,0.00424184617798549
"d1","Sub3","MSPrebio","C",0.0126294647271554,0,0.00115505993635097,0,0,0.000256722512253138,3.89044957288841e-05,0,7.43954215654185e-05,0,0,5.5975543198071e-05,0,0.00460704969798426
"d2","Sub3","MSPrebio","A",0.00455855725395392,0.000476351920119192,0.00143172693263601,0,0.000259568643290419,0.00078024069209722,8.85398650197165e-05,0,0.000185722758122334,0,0,9.06260933211625e-05,0,0.00137504534294749
"d2","Sub3","MSPrebio","B",0.0050186502227196,0.000286295232268343,0.00129845110543645,0,0.000376927511374361,0.0005740006645992,7.4845740138127e-05,0,5.6775551207118e-05,0.000322674011302685,0,0.000147501225646547,0,0.00205936935326404
"d2","Sub3","MSPrebio","C",0.00660485027038915,0.000398511112206469,0.00120402138820368,0,0.00033197703895928,0.000344772942315461,6.8210886998939e-05,0,0.000123306575714381,0,0,9.11981092024285e-05,0,0.00336033865958537
"d3","Sub3","MSPrebio","A",0.00303595719595934,0.000343617484914854,0.0008289635995954,4.53209735244393e-05,0.000314245595089922,0.00064525873055798,0.000151201283047393,0,0.000163491460337363,0,0,5.91844291103025e-05,0,0.00094611346560698
"d3","Sub3","MSPrebio","B",0.00876266561333265,0.00021677627119273,0.00104157707821951,6.47530718932455e-05,0.000394586465988355,0.00056861378115056,0.000169540110226154,0,0.000130936596212954,0,0,6.11939978275675e-05,0,0.00201412480003137
"d3","Sub3","MSPrebio","C",0.0150413077230335,0.000214989792984199,0.00128850226397426,9.3255192176917e-05,0.0003426130553903,0.000376511521851679,0.000109024189457788,0,0.000126247018508968,0,0,7.13663104103415e-05,0,0.0038164372040126
"d0","Sub4","MSPrebio","A",0.489639093893946,0,0.00271067447093473,0.00171566753090479,4.20717040813546e-06,0.00105098668651907,0.00027722592487858,0,0.00321921180973505,0.00250927938566174,0,0.000984052184646525,0,0.0453630981767352
"d0","Sub4","MSPrebio","B",0.56567493680788,0,0.00316580087913975,0.00174004579141019,4.36318261082036e-06,0.00111988335558871,0.000255471478785828,0,0.00330139863051414,0.00312822241976618,0,0.00101579351315804,0,0.0470198280412574
"d0","Sub4","MSPrebio","C",0.5644044336934,0,0.00383041783907275,0.00175594169223328,0,0.00112237962579463,0.000271606896930953,0,0.00356738435529157,0.0033051667825327,0,0.00103832509352111,0,0.0487410677005854
"d1","Sub4","MSPrebio","A",0.00327066673511225,0.00029091164114808,0.000993914519500995,0,0,0,0.000112907486587288,0,0.000169483086891819,0,0,4.52013203359578e-05,0,0.00176422409155348
"d1","Sub4","MSPrebio","B",0.0054724041229326,0.000357952002020334,0.00155464563962772,0,0,0,0.000175273973550522,0,0.000259923422747555,0,0,6.00089449014395e-05,0,0.00235089792991772
"d1","Sub4","MSPrebio","C",0.00276952256467843,0.000237874424614516,0.000803027815023895,0,0,0,0.000122320292778256,0,0.000123056716449982,0,0,3.82715236862669e-05,0,0.00169929407058681
"d2","Sub4","MSPrebio","A",0.00208121275604876,0.000324586050939429,0.00062816966953671,5.27231510505585e-05,0,0,0.000158997798637151,0,0.00020217388286065,0,0,4.35264727813272e-05,0,0.00278315716967451
"d2","Sub4","MSPrebio","B",0.00332782280005877,0.000396597388750911,0.0011016451811395,5.79370422624645e-05,0,0,0.00016170919216895,0,0.000216907021427084,0,0,2.90047472016149e-05,0,0.0034161916120545
"d2","Sub4","MSPrebio","C",0.00323093663152391,0.000426593404536235,0.00077379638584313,5.8297293632766e-05,0,0,0.000187126857152177,0,0.000223180451900475,0.000187498231034009,0,4.48512721783135e-05,0,0.00428799920176712
"d3","Sub4","MSPrebio","A",0.00388223641078143,0.000496255073320491,0.000899098184793105,0.000100281498553167,0.000237261416795849,0,0.000201755377650023,0,0.00044457430254924,0,0,4.1051566266958e-05,0,0.0079070793258625
"d3","Sub4","MSPrebio","B",0.00349115438282252,0.000497479445670982,0.000572550496309475,6.07617411157815e-05,0.000232927541756927,0,0.000201005029487952,0,0.000511277702813965,0,0,3.65739469482643e-05,0,0.0108768020819074
"d3","Sub4","MSPrebio","C",0.00431627240120827,0.000467353961611286,0.00108924362712717,9.55643922352345e-05,0.000334190830439537,0,0.000203485430111984,0,0.000438407624469047,0,0,4.11233902997913e-05,0,0.0108496830170655
"d0","Sub5","MSPrebio","A",0.0503081069569545,0.0082887786537776,0.00207172146421735,0.000195722735422329,0.000525788552384215,0.00113750613491444,6.17437976887135e-05,0,0.00062734800775273,0.00356868835412593,0,0.00071923168683997,0,0.0258684452455398
