"Subject","Day","Rep","Treat","Control_batch","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"Sub1","d0","A","Ctl-S",1,0.156560036977601,0.051607188447751,0,0.0179451699561326,0.025027385954665,0.0084951507390601,0.0201582520138138,0.00376479208010418,0,0.00142565773180932,0.00096749769642989,0.0200880687788147,0,0.0649097689405125
"Sub1","d0","B","Ctl-S",1,0.1567391366123,0.0453389891725197,0,0.0222535936667289,0.0202027476379148,0.00894943427309005,0.0189805085406085,0,0,0.000771930835983705,0,0.0170193718733127,0,0.063923896065164
"Sub1","d0","C","Ctl-S",1,0.163666127033918,0.0475226459800867,0,0.0157175253758462,0.0215376347910856,0.00788175161457345,0.0208672579895271,0.00429998912714133,0,0.00312201575702175,0.00119571484859238,0.0193783825972028,0,0.077742831919561
"Sub1","d1","A","Ctl-S",1,0.0389166523797287,0.0270864186522542,0,0.0091503023593245,0.0111908681968229,0.0054488473936615,0.0147146049020026,0,0,0,0,0.0093655316401552,0,0.0420131752329186
"Sub1","d1","B","Ctl-S",1,0.0355725973957274,0.024385460365899,0,0.00982326035432435,0.0113568848265542,0.00663414344353365,0.0198056670092439,0,0,0.00089203169058602,0,0.00742669027510005,0,0.0485162196341623
"Sub1","d1","C","Ctl-S",1,0.053296904731341,0.0405534258402296,0,0.0093280773122154,0.0145847096954005,0.00793717503445745,0.0241438759809719,0,0,0.00161773274243004,0.00115493737217806,0.0145856007470971,0,0.0614957181109345
"Sub1","d2","A","Ctl-S",1,0.0603398776114625,0.0492004517438087,0,0.0150502670531923,0.0169523541434911,0.0096649900436325,0.0287704796021197,0,0,0.00059536143542105,0.00139643928667824,0.0166845972270749,0,0.07499064954994
"Sub1","d2","B","Ctl-S",1,0.057169302760329,0.0409928995028709,0,0.0124023849614002,0.0164653594289041,0.0083836059258955,0.0273104953244314,0,0,0.00109836807721671,0,0.0125252446873758,0,0.0723151518366645
"Sub1","d2","C","Ctl-S",1,0.0587475603387075,0.0415883470853673,0,0.0132056242168555,0.0158995673907482,0.0081518941496501,0.0323522265827786,0,0,0.00308765493848316,0.00115997522296724,0.0136227967024836,0,0.072264596618175
"Sub1","d3","A","Ctl-S",1,0.064614140930074,0.0379345250568099,0,0.0135497380802188,0.0173410009241358,0.011398700837802,0.0279578717879444,0.00114598277827983,0,0.00121847517524217,0,0.0163270664902316,0,0.072165609115971
"Sub1","d3","B","Ctl-S",1,0.066242662066817,0.0406109516961394,0,0.0131819327399384,0.0172426249380809,0.011116325740893,0.0247189772734996,0,0,0.00169036894175303,0.00049037671903549,0.0128067076709698,0,0.068209450061429
"Sub1","d3","C","Ctl-S",1,0.064352694796601,0.0475923768662414,0,0.0166040050693524,0.0187058058728408,0.0104450820061811,0.0239541525459762,0,0,0,0.00058951340539566,0.0103698346903714,0,0.052972974987953
