"Subject","Rep","Day","pH","Treat","subj_rep"
"Sub4","A","d2",4.44,"MSPrebio","Sub4A"
"Sub4","A","d3",4.18,"MSPrebio","Sub4A"
"Sub4","B","d0",6.98,"MSPrebio","Sub4B"
"Sub4","B","d1",4.38,"MSPrebio","Sub4B"
"Sub4","B","d2",4.41,"MSPrebio","Sub4B"
"Sub4","B","d3",4.14,"MSPrebio","Sub4B"
"Sub4","C","d0",6.98,"MSPrebio","Sub4C"
"Sub4","C","d1",4.39,"MSPrebio","Sub4C"
"Sub4","C","d2",4.43,"MSPrebio","Sub4C"
"Sub4","C","d3",4.16,"MSPrebio","Sub4C"
"Sub5","A","d0",7.04,"MSPrebio","Sub5A"
"Sub5","A","d1",5.64,"MSPrebio","Sub5A"
"Sub5","A","d2",5.73,"MSPrebio","Sub5A"
"Sub5","A","d3",5.53,"MSPrebio","Sub5A"
"Sub5","B","d0",7.03,"MSPrebio","Sub5B"
"Sub5","B","d1",5.72,"MSPrebio","Sub5B"
"Sub5","B","d2",5.81,"MSPrebio","Sub5B"
"Sub5","B","d3",5.64,"MSPrebio","Sub5B"
"Sub5","C","d0",7.02,"MSPrebio","Sub5C"
"Sub5","C","d1",5.99,"MSPrebio","Sub5C"
"Sub5","C","d2",6.05,"MSPrebio","Sub5C"
"Sub5","C","d3",5.91,"MSPrebio","Sub5C"
"Media only","A","d0",7.31,"Sunfiber","Media onlyA"
"Media only","A","d1",7.33,"Sunfiber","Media onlyA"
"Media only","A","d2",7.53,"Sunfiber","Media onlyA"
"Media only","A","d3",7.47,"Sunfiber","Media onlyA"
"Media only","B","d0",7.24,"Sunfiber","Media onlyB"
"Media only","B","d1",7.32,"Sunfiber","Media onlyB"
"Media only","B","d2",7.49,"Sunfiber","Media onlyB"
"Media only","B","d3",7.45,"Sunfiber","Media onlyB"
"Media only","C","d0",7.23,"Sunfiber","Media onlyC"
"Media only","C","d1",7.3,"Sunfiber","Media onlyC"
"Media only","C","d2",7.47,"Sunfiber","Media onlyC"
"Media only","C","d3",7.43,"Sunfiber","Media onlyC"
"Media & fiber","A","d0",7.18,"Sunfiber","Media & fiberA"
"Media & fiber","A","d1",7.24,"Sunfiber","Media & fiberA"
"Media & fiber","A","d2",7.56,"Sunfiber","Media & fiberA"
"Media & fiber","A","d3",7.38,"Sunfiber","Media & fiberA"
"Media & fiber","B","d0",7.17,"Sunfiber","Media & fiberB"
"Media & fiber","B","d1",7.32,"Sunfiber","Media & fiberB"
"Media & fiber","B","d2",7.46,"Sunfiber","Media & fiberB"
"Media & fiber","B","d3",7.37,"Sunfiber","Media & fiberB"
"Media & fiber","C","d0",7.18,"Sunfiber","Media & fiberC"
"Media & fiber","C","d1",7.3,"Sunfiber","Media & fiberC"
"Media & fiber","C","d2",7.45,"Sunfiber","Media & fiberC"
"Media & fiber","C","d3",7.35,"Sunfiber","Media & fiberC"
"Sub1","A","d0",7.11,"Sunfiber","Sub1A"
"Sub1","A","d1",6.14,"Sunfiber","Sub1A"
"Sub1","A","d2",6.31,"Sunfiber","Sub1A"
"Sub1","A","d3",6.27,"Sunfiber","Sub1A"
"Sub1","B","d0",7.1,"Sunfiber","Sub1B"
"Sub1","B","d1",6.22,"Sunfiber","Sub1B"
"Sub1","B","d2",6.36,"Sunfiber","Sub1B"
"Sub1","B","d3",6.27,"Sunfiber","Sub1B"
"Sub1","C","d0",7.11,"Sunfiber","Sub1C"
"Sub1","C","d1",6.16,"Sunfiber","Sub1C"
"Sub1","C","d2",6.34,"Sunfiber","Sub1C"
"Sub1","C","d3",6.21,"Sunfiber","Sub1C"
"Sub2","A","d0",7.16,"Sunfiber","Sub2A"
"Sub2","A","d1",5.01,"Sunfiber","Sub2A"
"Sub2","A","d2",4.75,"Sunfiber","Sub2A"
"Sub2","A","d3",4.92,"Sunfiber","Sub2A"
"Sub2","B","d0",7.14,"Sunfiber","Sub2B"
"Sub2","B","d1",5.02,"Sunfiber","Sub2B"
"Sub2","B","d2",4.88,"Sunfiber","Sub2B"
"Sub2","B","d3",4.94,"Sunfiber","Sub2B"
"Sub2","C","d0",7.12,"Sunfiber","Sub2C"
"Sub2","C","d1",5.01,"Sunfiber","Sub2C"
"Sub2","C","d2",4.94,"Sunfiber","Sub2C"
"Sub2","C","d3",4.92,"Sunfiber","Sub2C"
"Sub3","A","d0",7.16,"Sunfiber","Sub3A"
"Sub3","A","d1",6.38,"Sunfiber","Sub3A"
"Sub3","A","d2",6.4,"Sunfiber","Sub3A"
"Sub3","A","d3",6.13,"Sunfiber","Sub3A"
"Sub3","B","d0",7.16,"Sunfiber","Sub3B"
"Sub3","B","d1",6.36,"Sunfiber","Sub3B"
"Sub3","B","d2",6.34,"Sunfiber","Sub3B"
"Sub3","B","d3",6.18,"Sunfiber","Sub3B"
"Sub3","C","d0",7.12,"Sunfiber","Sub3C"
"Sub3","C","d1",6.39,"Sunfiber","Sub3C"
"Sub3","C","d2",6.38,"Sunfiber","Sub3C"
"Sub3","C","d3",6.25,"Sunfiber","Sub3C"
"Sub4","A","d0",7.15,"Sunfiber","Sub4A"
"Sub4","A","d1",5.18,"Sunfiber","Sub4A"
"Sub4","A","d2",5.08,"Sunfiber","Sub4A"
"Sub4","A","d3",4.85,"Sunfiber","Sub4A"
"Sub4","B","d0",7.13,"Sunfiber","Sub4B"
"Sub4","B","d1",5.17,"Sunfiber","Sub4B"
"Sub4","B","d2",5.09,"Sunfiber","Sub4B"
"Sub4","B","d3",5.02,"Sunfiber","Sub4B"
"Sub4","C","d0",7.11,"Sunfiber","Sub4C"
"Sub4","C","d1",5.16,"Sunfiber","Sub4C"
"Sub4","C","d2",5.08,"Sunfiber","Sub4C"
"Sub4","C","d3",4.97,"Sunfiber","Sub4C"
"Sub5","A","d0",7.16,"Sunfiber","Sub5A"
"Sub5","A","d1",6,"Sunfiber","Sub5A"
"Sub5","A","d2",5.56,"Sunfiber","Sub5A"
"Sub5","A","d3",4.86,"Sunfiber","Sub5A"
"Sub5","B","d0",7.16,"Sunfiber","Sub5B"
"Sub5","B","d1",6.08,"Sunfiber","Sub5B"
"Sub5","B","d2",5.63,"Sunfiber","Sub5B"
"Sub5","B","d3",5.39,"Sunfiber","Sub5B"
"Sub5","C","d0",7.16,"Sunfiber","Sub5C"
"Sub5","C","d1",6.53,"Sunfiber","Sub5C"
"Sub5","C","d2",6.51,"Sunfiber","Sub5C"
"Sub5","C","d3",6.47,"Sunfiber","Sub5C"
