"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d3","NoSub","MSPrebio","A",8.19215907793895,0,0.0300942718935223,0,0,0.00369001040403215,0.000385456915099233,0,0,0,0,0.00378094981149096,0,0.0233962500911118
"d3","NoSub","MSPrebio","B",8.3829143646882,0,0.0244908984832403,0,0,0.00346636390602154,0.000569573996032925,0,0,0,0,0.00416959798875311,0,0.0284132207657504
"d3","NoSub","MSPrebio","C",8.17593940199805,0,0.0272940428280939,0,0,0.00370369861686858,0.000297457097015886,0,0,0,0,0.00547670650250055,0,0.0254654038202505
"d0","Sub1","MSPrebio","A",8.1837878093893,0,0.0243627147671362,0.0087444435182386,0.0144248305671266,0.0077715146335428,0.00781930576463305,0,0.00789181535810865,0,0,0.00641424743672605,0,0.052737786774651
"d0","Sub1","MSPrebio","B",10.3651058667574,0,0.0328372086703736,0.00794242241399465,0.0152256041669719,0.00708647079225775,0.00654315206690715,0,0.00502037632968665,0,0,0.00779853284781475,0,0.05271526343165
"d0","Sub1","MSPrebio","C",9.51299584596075,0,0.0314786571717488,0.0084365536999555,0.0164963013666756,0.00760910715442935,0.0071368688276014,0,0.00866925242322475,0,0,0.00515881871100075,0,0.057544133014726
"d1","Sub1","MSPrebio","A",5.38673919060135,0,0.022633099626416,0.0076167188001572,0.00904488431896235,0.0077938640565953,0.011156057300632,0,0,0,0,0.00316092983425437,0,0.047692206871776
"d1","Sub1","MSPrebio","B",4.41083434496953,0,0.0161934515638775,0.00740571078273025,0.0108674657147444,0.0077339132855077,0.0104023512662696,0,0,0,0,0.00310661441493906,0,0.0491083737466154
"d1","Sub1","MSPrebio","C",7.93067740204385,0,0.0244612311043463,0.0074445774544316,0.00760056320951315,0.0093439256726823,0.00955409130940275,0,0,0,0,0.00390600025846882,0,0.0516685298948045
"d2","Sub1","MSPrebio","A",7.1172601170226,0,0.0252783626956341,0,0,0.0079291122623378,0.0125444601931573,0,0,0,0,0.00503227056354945,0,0.056910051490221
