"Day","Subject","Treat","Rep","Acetic Acid","Propionic Acid","Butyric Acid","Lactic Acid","Isobutyric Acid","Valeric Acid","IsoValeric Acid","2-MethylButyric Acid","Caproic Acid","2,2-DimethylButyric Acid","2-MethylValeric Acid","3-MethylValeric Acid","4-MethylValeric Acid","Succinic Acid","Indole-3-Propionic Acid","Indole-3-Butyric Acid","indole-3-Acetic Acid","Indole-3-Lactic Acid"
"d0","NoSub","ctl-m","A",0,0.341684775696006,1.20489745494734,5.87622531238894,0,0.0138045712053678,0,0,0,0,0,0,0,0,0,0,0,0.0365010538245322
"d0","NoSub","ctl-m","B",12.9657426266741,0.331887633126835,1.33902788731576,10.9902938597788,0.0495042178222484,0.175230178851472,0.0593003604882854,0.0211075227517221,0.495130425624047,0,0,0,0,1.31552585150569,0,0,0.00407841109671492,0.238023166276176
"d0","NoSub","ctl-m","C",0,0,0.463887829122791,4.32983148594678,0,0.035601382996741,0.00674051762855188,0,0.0614906159601838,0,0,0,0,0.123086164887767,0,0,0.00215456420815551,0.0587037210078724
"d1","NoSub","ctl-m","A",21.940847966286,0.869334505489123,5.67700673103655,6.06822464304543,0.0155664255727925,0.0893485415822303,0.0231953024753721,0.00628011069667312,0,0,0,0,0,0,0,0,0,0.28080817841785
"d1","NoSub","ctl-m","B",31.9226193460766,0.701856756612236,4.18039169999398,7.0969142361846,0.033846708779856,0.127310686100625,0.0337812711151048,0.0109658466254054,0.201014346827465,0,0,0,0,0.558759396777816,0,0,0.00385184635772857,0.159614900687405
"d1","NoSub","ctl-m","C",26.1803583822318,0.451836656080191,3.08676014537381,13.9690761213234,0.040899097255247,0.154803925254235,0.0407525126223362,0.0152051968551473,0.298507335649951,0.00516216417436631,0,0,0,0.980962495929992,0,0,0.00309948883042025,0.346967480293444
"d2","NoSub","ctl-m","A",23.4761045446034,0.521242125005634,5.30891702665035,7.21737093757985,0.0128889854849937,0.0404881534847881,0.017067372218504,0.00519749316413056,0,0,0,0,0,0,0,0,0,0.145000934810496
"d2","NoSub","ctl-m","B",10.1254723332063,0.803128922357237,5.89474674152889,3.90580179461455,0,0.00807825241719385,0,0,0,0,0,0,0,0,0,0,0,0.0545428232674351
"d2","NoSub","ctl-m","C",2.6558256742314,0,2.65283381286894,4.93292711716305,0,0.0330177552296512,0,0,0,0,0,0,0,0,0,0,0,0.0632263922135433
"d3","NoSub","ctl-m","A",12.779912013453,0.479649558010477,3.56331696846578,4.09880602715199,0,0.00992158168548759,0,0,0,0,0,0,0,0,0,0,0,0.040412583379242
"d3","NoSub","ctl-m","B",22.6226768472685,1.97740717316879,10.2296535482474,4.93793973179484,0,0.0094944401565112,0.00746950895427004,0,0,0,0,0,0,0,0,0,0,0.0303893937369131
"d3","NoSub","ctl-m","C",18.6247673761502,1.99834030792337,11.5832885354995,3.61878108228044,0,0.0107506215209672,0,0,0,0,0,0,0,0,0,0,0,0.0354567622371073
"d0","NoSub","MSPrebio","A",0,0,0.433122524055188,3.1737691998844,0,0,0,0,0,0,0,0,0,0,0,0,0.00233408187822081,0.0307816076521685
"d0","NoSub","MSPrebio","B",4.27144179589218,0.261559399056321,1.54242214702208,2.85838802932216,0,0.0102243232072473,0,0,0,0,0,0,0,0,0,0,0.0020135986557488,0.00772673803700057
"d0","NoSub","MSPrebio","C",5.02018365112489,0.372789822215508,1.16455999059221,3.2934875383507,0,0,0,0,0,0,0,0,0,0,0,0,0.00238587835380995,0.0086680230389118
"d1","NoSub","MSPrebio","A",0,0.69925762235707,2.21747157462495,3.92728875593892,0,0.0056507439581358,0,0,0,0,0,0,0,0,0,0,0.00265724001938185,0.0419274976294193
"d1","NoSub","MSPrebio","B",2.75422768169597,0.584600058369832,2.89172840516973,3.64887474616273,0,0,0,0,0,0,0,0,0,0,0,0,0.00297203825202514,1.22201345303315
"d1","NoSub","MSPrebio","C",9.6528478775989,0.71361953178274,3.50736726931429,4.65413872187515,0,0.00801234222471628,0.00679761981451832,0,0,0,0,0,0,0,0,0,0.0026346372243538,0.078856718768928
"d2","NoSub","MSPrebio","A",0,0,1.64017678445459,3.50866740389651,0,0,0,0,0,0,0,0,0,0,0,0,0.0036115137079457,0.0681553784011393
"d2","NoSub","MSPrebio","B",11.8628245091494,0.351133469971453,2.91068271769377,5.87589946025639,0,0.0404132830064706,0.0238093741561447,0.0119290265770521,0,0,0,0,0,0.760541471572441,0,0,0.00413608629495616,0.0859696141756111
"d2","NoSub","MSPrebio","C",1.88005780550283,0.12036569762741,2.4804805910179,8.03874687063595,0,0.0125401295756594,0.00856321587753165,0,0,0,0,0,0,0.307256499646686,0,0,0.00367675180686265,0.127630700799293
"d3","NoSub","MSPrebio","A",14.2869045428806,1.42567321477387,9.22485188335432,4.64128322670778,0,0.0105943414750392,0,0,0,0,0,0,0,0,0,0,0.00278782239458215,0.027750819538464
"d3","NoSub","MSPrebio","B",11.3949776112515,1.14767140597758,7.5428041365215,3.73527698078162,0,0,0,0,0,0,0,0,0,0,0,0,0.0021037797230204,0.0292577402878422
"d3","NoSub","MSPrebio","C",14.8139574000169,0.775874734379876,5.51056897924188,4.15213478164579,0,0.00684819554534753,0,0,0,0,0,0,0,0,0,0,0.00356155844787899,0.224724712227521
"d0","Sub1","MSPrebio","A",69.5022300351797,103.504591360537,43.7097978418169,6.25318628511022,0.589172610155442,2.5345798685167,0.811081978137228,0.271858251684766,0,0,0,0,0,3.52545802353725,0.0140887451194842,0,0.0101252416432858,0.238251785401699
"d0","Sub1","MSPrebio","B",91.692191261054,131.450220377653,60.2917332107413,9.21930722351214,0.725514915081334,3.27182106726632,1.10264389459037,0.365811565587827,0,0,0,0,0,3.6625172633918,0.0161493654419252,0,0.0110862439234742,0.146447766821858
"d0","Sub1","MSPrebio","C",62.1298208186695,97.283739174043,40.1311163490337,5.39868452383482,0.44514223242786,2.05720009020333,0.655025295189958,0.226213072329036,0,0,0,0,0,2.72029302612372,0.0112372845220137,0,0.00810866289997304,0.397911880459174
